control_name,zh_TW,zh_CN,en,ja
app_title,FluidMIDI 播放器,FluidMIDI 播放器,FluidMIDI Player,FluidMIDI プレーヤー
common_ok,確定,确定,OK,確定
common_cancel,取消,取消,Cancel,キャンセル
common_close,關閉,关闭,Close,閉じる
common_error,錯誤,错误,Error,エラー
common_warning,警告,警告,Warning,警告
common_success,成功,成功,Success,成功
common_loading,載入中...,加载中...,Loading...,読み込み中...

home_tab_browser,檔案瀏覽,文件浏览,File Browser,ファイルブラウザ
home_tab_soundfonts,SoundFont 庫,SoundFont 库,SoundFonts,サウンドフォント
home_tab_settings,設定與動態庫,设置与动态库,Settings & Library,設定とライブラリ
home_title,家目錄音樂檔案,家目录音乐文件,Home Music Files,ホームの音楽ファイル
home_path_label,當前路徑,当前路径,Current Path,現在のパス
home_btn_home,家目錄,家目录,Home Directory,ホームディレクトリ
home_btn_volumes,儲存裝置 / 外接硬碟,存储设备 / 外接硬盘,Storage / External Drives,ストレージ / 外付けドライブ
home_btn_parent_dir,上一層目錄,上一层目录,Parent Directory,上のフォルダへ
home_btn_refresh,重新整理,刷新,Refresh,更新
home_btn_request_permission,申請儲存讀取權限,申请存储读取权限,Request Storage Permission,ストレージ権限をリクエスト
home_permission_denied,未能取得家目錄讀取權限，請於系統設定中開啟權限,未能取得家目录读取权限，请在系统设置中开启权限,Failed to access home directory. Please grant permission in settings.,ホームディレクトリへのアクセスが拒否されました。設定で権限を許可してください。
home_no_files_found,在家目錄中未找到任何 MIDI 或 SoundFont 檔案,在家目录中未找到任何 MIDI 或 SoundFont 文件,No MIDI or SoundFont files found in home directory,ホームディレクトリ内に MIDI または SoundFont ファイルが見つかりませんでした
home_item_badge_directory,資料夾,文件夹,Folder,フォルダ
home_item_badge_midi,MIDI 音樂,MIDI 音乐,MIDI File,MIDIファイル
home_item_badge_soundfont,音色庫,音色库,SoundFont,サウンドフォント
home_tip_click_midi,點擊 MIDI 檔案即可開始播放,点击 MIDI 文件即可开始播放,Tap a MIDI file to start playback,タップして MIDI を再生
home_tip_click_soundfont,點擊 SoundFont 檔案即可儲存至已知清單,点击 SoundFont 文件即可保存至已知列表,Tap a SoundFont to save to known list,タップしてサウンドフォントを登録
home_prompt_select_soundfont,請先載入 SoundFont (音色庫) 方可播放 MIDI 音樂,请先加载 SoundFont (音色库) 才能播放 MIDI 音乐,Please select or load a SoundFont before playing MIDI,MIDI を再生する前にサウンドフォントを選択してください
home_btn_play_single,僅播放此曲目（清空播放列表）,仅播放此曲目（清空播放列表）,Play This Track (Clear Playlist),この曲のみ再生（リストをクリア）
home_btn_play_playlist,播放並載入當前目錄,播放并载入当前目录,Play & Load Folder,再生してフォルダを読み込む
home_btn_add_next,加入下一首播放,添加到下一首播放,Play Next,次に再生
home_toast_added_next,已加入下一首播放,已添加到下一首播放,Added to play next,次に再生に追加しました
home_this_pc,本機,此电脑,This PC,PC
home_item_badge_drive,磁碟機,磁盘驱动器,Disk Drive,ドライブ
home_lib_not_loaded,FluidSynth 核心動態庫未載入，無法播放音樂,FluidSynth 核心动态库未加载，无法播放音乐,FluidSynth library is not loaded. Cannot play MIDI.,FluidSynth ライブラリが読み込まれていません。再生できません。
home_btn_goto_settings,前往設定,前往设置,Settings,設定へ
home_prompt_lib_not_loaded,未檢測到 FluidSynth 核心動態庫，無法合成與播放 MIDI 音樂。請至「設定與動態庫」設定動態庫路徑。,未检测到 FluidSynth 核心动态库，无法合成与播放 MIDI 音乐。请至“设置与动态库”设置动态库路径。,FluidSynth dynamic library is not loaded. Please configure the library path in Settings.,FluidSynth 動態ライブラリが読み込まれていません。設定でパスを指定してください。

player_title_now_playing,正在播放,正在播放,Now Playing,再生中
player_no_track,尚未選擇 MIDI 檔案,尚未选择 MIDI 文件,No MIDI track selected,曲が選択されていません
player_active_soundfont,當前音色庫,当前音色库,Active SoundFont,現在のサウンドフォント
player_no_soundfont,未加載 SoundFont,未加载 SoundFont,No SoundFont Loaded,サウンドフォント未読み込み
player_btn_play,播放,播放,Play,再生
player_btn_pause,暫停,暂停,Pause,一時停止
player_btn_stop,停止,停止,Stop,停止
player_btn_prev,上一首,上一首,Previous Track,前の曲
player_btn_next,下一首,下一首,Next Track,次の曲
player_btn_shuffle_on,隨機播放：開啟,随机播放：开启,Shuffle: On,シャッフル：オン
player_btn_shuffle_off,隨機播放：關閉,随机播放：关闭,Shuffle: Off,シャッフル：オフ
player_loop_none,循環模式：不循環,循环模式：不循环,Loop: Off,リピート：オフ
player_loop_playlist,循環模式：列表循環,循环模式：列表循环,Loop: Playlist,リピート：リスト
player_loop_single,循環模式：單曲循環,循环模式：单曲循环,Loop: Single Track,リピート：1曲
player_btn_loop_on,已開啟循環播放,已开启循环播放,Loop Enabled,リピート有効
player_btn_loop_off,已關閉循環播放,已关闭循环播放,Loop Disabled,リピート無効
player_volume_label,音量,音量,Volume,音量
player_btn_playlist,播放列表,播放列表,Playlist,再生リスト
playlist_title,播放列表,播放列表,Playlist,再生リスト
playlist_empty,播放列表為空,播放列表为空,Playlist is empty,再生リストは空です
playlist_clear,清空列表,清空列表,Clear Playlist,リストをクリア
playlist_tracks_count,首曲目,首曲目,tracks,曲
player_status_playing,播放中,播放中,Playing,再生中
player_status_paused,已暫停,已暂停,Paused,一時停止中
player_status_stopped,已停止,已停止,Stopped,停止中

sf_manager_title,已知 SoundFont 清單,已知 SoundFont 列表,Known SoundFonts,登録済みサウンドフォント
sf_manager_subtitle,點選以切換為當前使用的音色庫,点击以切换为当前使用的音色库,Tap to switch the active SoundFont,タップしてサウンドフォントを切り替え
